# Progression simulation
# runs=20000 seed=12345 moveCap=1000 manualProxy=Rand manualSecPerMove=1 manualRestartSec=5 stopAtPpo=False simulateResearch=True targetPrestiges=10 ppoNormalRunsPerPrestige=500 ppoTrainingMovesPerRun=150
# finalChips=4045308 totalEarned=103226808 prestiges=4 insight=29 cycleInsight=0 lifetimeInsight=540 simSeconds=151608
# Cycles:
Cycle	StartRun	EndRun	StartSeconds	EndSeconds	DurationSeconds	InsightGained	Unfinished	IncomeMix
1703	10432	TokenPack	Token Pack	12400	chips	474619566	3064213166
1720	10488	Modifier.Queue Scrubber	Modifier Queue Scrubber L2	600000000	chips	3648153	3193241753
1723	10497	TokenPack	Token Pack	12400	chips	22566561	3212172561
1743	10561	TokenPack	Token Pack	12400	chips	192989299	3382607699
1763	10626	TokenPack	Token Pack	12400	chips	336630139	3526260939
1783	10691	TokenPack	Token Pack	12400	chips	490890016	3680533216
1803	10756	TokenPack	Token Pack	12400	chips	637719033	3827374633
1823	10818	TokenPack	Token Pack	12400	chips	779154854	3968822854
1826	10827	Modifier.Unstable Stack	Modifier Unstable Stack L3	800000000	chips	1679718	3991347718
1843	10885	TokenPack	Token Pack	12400	chips	143659787	4133340187
1863	10950	TokenPack	Token Pack	12400	chips	300131476	4289824276
1883	11017	TokenPack	Token Pack	12400	chips	447503873	4437209073
1903	11084	TokenPack	Token Pack	12400	chips	618257062	4607974662
1923	11146	TokenPack	Token Pack	12400	chips	765459297	4755189297
1943	11213	TokenPack	Token Pack	12400	chips	923172402	4912914802
1952	11244	Modifier.Catalyst Stack	Modifier Catalyst Stack L1	1000000000	chips	1352383	4991094783
1963	11278	TokenPack	Token Pack	12400	chips	78487774	5068242574
1983	11342	TokenPack	Token Pack	12400	chips	235324225	5225091425
2003	11408	TokenPack	Token Pack	12400	chips	407720971	5397500571
2023	11475	TokenPack	Token Pack	12400	chips	585136576	5574928576
2043	11539	TokenPack	Token Pack	12400	chips	747833085	5737637485
2063	11606	TokenPack	Token Pack	12400	chips	932961916	5922778716
2070	11631	Modifier.Miner's Pickaxe	Modifier Miner's Pickaxe L3	1000000000	chips	7342930	5997159730
2083	11676	TokenPack	Token Pack	12400	chips	107001676	6096830876
2103	11743	TokenPack	Token Pack	12400	chips	282551371	6272392971
2123	11810	TokenPack	Token Pack	12400	chips	469592958	6459446958
2143	11879	TokenPack	Token Pack	12400	chips	639479701	6629346101
2163	11949	TokenPack	Token Pack	12400	chips	825415971	6815294771
