# Progression simulation
# runs=27772 seed=12345 moveCap=1000 manualProxy=Rand manualSecPerMove=1 manualRestartSec=5 stopAtPpo=False simulateResearch=True targetPrestiges=20 ppoNormalRunsPerPrestige=1000 ppoTrainingMovesPerRun=150
# finalChips=10000 totalEarned=250000 prestiges=20 insight=24262 cycleInsight=0 lifetimeInsight=837173 simSeconds=353145
# Cycles:
Cycle	StartRun	EndRun	StartSeconds	EndSeconds	DurationSeconds	InsightGained	Unfinished
5463	55678	Token Pack	10000	chips	1525607	26813807
5491	55783	Profitable Ending L4	2200000	chips	3502	27491702
5513	55866	Token Pack	10000	chips	696000	28194200
5563	56054	Token Pack	10000	chips	1912391	29420591
5578	56111	Agent Move Dividend	2200000	chips	16774	29724974
5613	56241	Token Pack	10000	chips	799783	30517983
5663	56425	Token Pack	10000	chips	1902621	31630821
5688	56522	Chip Yield	2500000	chips	12724	32240924
5713	56618	Token Pack	10000	chips	739512	32977712
5763	56806	Token Pack	10000	chips	2155460	34403660
5779	56868	Scaling Frequency L4	2700000	chips	32732	34980932
5813	56992	Token Pack	10000	chips	1055596	36013796
5863	57175	Token Pack	10000	chips	2452560	37420760
5882	57244	Agent Velocity Trader	3000000	chips	19560	37987760
5913	57356	Token Pack	10000	chips	1257320	39235520
5963	57539	Token Pack	10000	chips	3322948	41311148
5975	57581	Passive Yield L5	3800000	chips	10676	41798876
6013	57717	Token Pack	10000	chips	1543912	43342112
6063	57899	Token Pack	10000	chips	3481884	45290084
6077	57950	Speed L5	4000000	chips	23720	45831920
6113	58055	Token Pack	10000	chips	1295752	47113952
6163	58206	Token Pack	10000	chips	3404556	49232756
6195	58301	Compute Speed L5	4500000	chips	62676	50390876
6213	58356	Token Pack	10000	chips	864008	51202208
6263	58504	Token Pack	10000	chips	2755600	53103800
6270	58524	Modifiers Menu	3000000	chips	7012	53355212
6275	58538	Modifier Unstable Stack L1	800000	chips	67952	54216152
6283	58563	Modifier Unstable Stack L2	1600000	chips	52416	55800616
6292	58591	Modifier Queue Scrubber L1	1800000	chips	124285	57672485
6302	58621	Modifier Miner's Pickaxe L1	2000000	chips	142225	59690425
6313	58657	Token Pack	10000	chips	2757303	62315503
