# Progression simulation
# runs=28011 seed=12345 moveCap=1000 manualProxy=Rand manualSecPerMove=1 manualRestartSec=5 stopAtPpo=False simulateResearch=True targetPrestiges=25 ppoNormalRunsPerPrestige=500 ppoTrainingMovesPerRun=220
# finalChips=0 totalEarned=500000 prestiges=25 insight=56767 cycleInsight=952 lifetimeInsight=614678 simSeconds=278332
# Cycles:
Cycle	StartRun	EndRun	StartSeconds	EndSeconds	DurationSeconds	InsightGained	Unfinished
25	Auto Restart	28011	278332	0
25	Solver Tuning	28011	278332	0
25	Datacenter unlocked	28011	278332	0

# Purchases:
Run	SimSeconds	Label	Cost	Currency	BalanceAfter	TotalEarnedAfter
9	557	Solver RAND	1000	chips	5	1005
20	1223	Auto Solve	1200	chips	33	2233
46	1417	Solver MERG	3000	chips	34	5234
54	1524	Chip Yield	4000	chips	195	9395
60	1607	Passive Yield L1	5000	chips	373	14573
65	1675	Active Multiplier L1	4000	chips	373	18573
72	1771	Solver BAL	6000	chips	121	24321
80	1884	Speed L1	6000	chips	1255	31455
88	1968	Passive Tick Rate L1	7000	chips	253	37453
97	2066	Auto Restart	8000	chips	552	45752
110	2209	Stack Cap L1	12000	chips	569	57769
126	2406	Solver STALL	18000	chips	367	75567
156	2886	Active Multiplier L2	25000	chips	1005	101205
186	3389	Passive Yield L2	28000	chips	789	128989
225	3998	Solver HEUR	30000	chips	1016	159216
249	4381	Solver Tuning	30000	chips	725	188925
275	4782	Speed L2	30000	chips	302	218502
305	5146	Passive Tick Rate L2	35000	chips	600	253800
340	5563	Token Pack	10000	chips	30468	293668
348	5632	Queue Preview	40000	chips	661	303861
380	5907	Token Pack	10000	chips	30991	344191
388	5977	Chip Yield	40000	chips	1152	354352
416	6216	Token Pack	10000	chips	33652	396852
435	6373	Difficulty L1	60000	chips	181	423381
470	6626	Token Pack	10000	chips	30362	463562
503	6867	Stack Cap L2	70000	chips	999	504199
530	7089	Token Pack	10000	chips	30068	543268
565	7383	Solver LOOK	80000	chips	2088	595288
582	7583	Token Pack	10000	chips	32242	635442
605	7847	Profitable Ending L1	80000	chips	2014	685214
621	8040	Token Pack	10000	chips	30886	724086
645	8337	Scaling Frequency L1	90000	chips	5018	788218
666	8566	Token Pack	10000	chips	42036	835236
701	8949	Agents Menu	120000	chips	594	913794
707	9015	Agent Merge Broker	60000	chips	8209	981409
715	9100	Agent Highwater Analyst	120000	chips	7846	1101046
717	9121	Token Pack	10000	chips	33989	1137189
724	9190	Solver PLAN-3	130000	chips	4537	1237737
731	9294	Active Multiplier L3	130000	chips	21450	1384650
737	9387	Passive Yield L3	140000	chips	6598	1509798
746	9510	Speed L3	150000	chips	12268	1665468
754	9598	Compute Speed L1	150000	chips	40026	1843226
762	9672	Passive Tick Rate L3	175000	chips	19801	1998001
766	9712	Token Pack	10000	chips	91784	2079984
771	9758	Solver COMBO	180000	chips	4478	2172678
782	9846	Difficulty L2	180000	chips	6457	2354657
798	9958	Solver MOCA	220000	chips	668	2568868
812	10058	Agent Score Auditor	220000	chips	3831	2792031
816	10092	Token Pack	10000	chips	72183	2870383
829	10178	Profitable Ending L2	240000	chips	2575	3040775
850	10326	Compute Speed L2	300000	chips	17652	3355852
866	10431	Token Pack	10000	chips	213538	3561738
874	10481	Scaling Frequency L2	300000	chips	5914	3654114
899	10640	Chip Yield	350000	chips	9200	4007400
916	10752	Token Pack	10000	chips	268619	4276819
924	10804	Solver PLAN-5	400000	chips	13244	4421444
947	10954	Stack Cap L3	400000	chips	14654	4822854
966	11093	Token Pack	10000	chips	394448	5212648
967	11100	Queue Preview	400000	chips	12795	5230995
984	11231	Agent Overclocker	400000	chips	4389	5622589
1015	11417	Difficulty L3	600000	chips	5902	6224102
1018	11432	Token Pack	10000	chips	41929	6270129
1051	11611	Agent Quartermaster	650000	chips	994	6879194
1066	11691	Token Pack	10000	chips	241343	7129543
1096	11847	Compute Speed L3	700000	chips	8735	7596935
1116	11956	Token Pack	10000	chips	337395	7935595
