# Progression simulation
# runs=8000 seed=12345 moveCap=1000 manualProxy=Rand
# Purchases:
Run	Label	Cost	ChipsAfter	TotalEarnedAfter
3640	151514976	36010	209753176	Combo	3151	158	128	
3660	153191371	38850	211429571	Combo	3235	150	128	
3680	154756609	68730	212994809	Combo	3860	156	256	
3700	156625919	57062	214864119	Combo	3463	141	256	
3720	158743288	67595	216981488	Combo	4014	148	256	
3740	160148366	51644	218386566	Combo	3763	148	128	
3760	162133795	57682	220371995	Combo	3504	122	256	
3780	163715439	134636	221953639	Combo	4995	153	512	
3800	165235281	43277	223473481	Combo	3207	122	256	
3820	166505941	41203	224744141	Combo	3624	132	128	
3840	168457040	237165	226695240	Combo	6394	151	1024	
3860	170246777	67375	228484977	Combo	4279	165	256	
3880	171907133	43038	230145333	Combo	3604	162	128	
3900	173569964	46834	231808164	Combo	2889	119	256	
3920	175182674	81638	233420874	Combo	5091	190	256	
3940	176760775	85639	234998975	Combo	4461	151	256	
3960	178043075	90292	236281275	Combo	4319	149	256	
3980	179640376	38696	237878576	Combo	2579	99	256	
4000	181356219	48090	239594419	Combo	2879	136	256	
4020	182524035	56890	240762235	Combo	3298	133	256	
4040	184633287	58668	242871487	Combo	4103	160	128	
4060	186700598	35940	244938798	Combo	3205	121	256	
4080	188218212	35176	246456412	Combo	3334	130	128	
4100	189752954	77610	247991154	Combo	4079	169	256	
4120	191302297	51664	249540497	Combo	2984	139	256	
4140	193110033	62263	251348233	Combo	3627	140	256	
4160	194418446	41004	252656646	Combo	3550	139	128	
4180	196035045	39704	254273245	Combo	2967	154	128	
4200	197557139	73606	255795339	Combo	4086	122	256	
4220	199366974	115216	257605174	Combo	5088	140	512	
4240	200849678	30493	259087878	Combo	2533	119	128	
4260	202778442	168926	261016642	Combo	5512	144	512	
4280	205089809	102688	263328009	Combo	4063	141	512	
4300	206321474	150718	264559674	Combo	5514	167	512	
4320	207923861	86000	266162061	Combo	5650	161	256	
4340	209470012	154215	267708212	Combo	5395	196	512	
4360	211366037	54652	269604237	Combo	3300	136	256	
4380	213202569	104070	271440769	Combo	4700	193	256	
4400	214916558	52811	273154758	Combo	3628	167	128	
4420	216769712	54617	275007912	Combo	3722	121	256	
4440	218241162	62077	276479362	Combo	4092	115	256	
4460	219576898	152884	277815098	Combo	5209	156	512	
4480	220959922	32022	279198122	Combo	3096	122	128	
4500	222705012	128755	280943212	Combo	5094	182	512	
4520	224257266	48182	282495466	Combo	3504	156	128	
4540	226026936	39648	284265136	Combo	3424	158	128	
4560	227953262	249001	286191462	Combo	7605	177	512	
4580	229142028	26300	287380228	Combo	2450	120	128	
4600	230553056	129575	288791256	Combo	4690	154	512	
4620	232145417	64849	290383617	Combo	4010	132	256	
4640	233292536	114676	291530736	Combo	5653	130	512	
4660	234987725	53912	293225925	Combo	3244	116	256	
4680	236527461	49329	294765661	Combo	3271	138	256	
4700	237960779	70639	296198979	Combo	4483	169	256	
4720	240032337	198170	298270537	Combo	7106	150	512	
4740	241763279	77131	300001479	Combo	4784	175	256	
4760	243161865	61774	301400065	Combo	4195	200	128	
4780	245066627	106307	303304827	Combo	5486	179	256	
4800	246522792	45795	304760992	Combo	4065	141	128	
4820	248440497	76390	306678697	Combo	3201	144	512	
