# Progression simulation
# runs=7556 seed=12345 moveCap=1000 manualProxy=Rand stopAtPpo=False simulateResearch=True targetPrestiges=6 ppoNormalRunsPerPrestige=100
# finalChips=900000 totalEarned=900000 prestiges=6 insight=20383 cycleInsight=0 lifetimeInsight=22866
# Purchases:
Run	Label	Cost	Currency	BalanceAfter	TotalEarnedAfter
5248	Modifier Queue Scrubber L4	14400000	chips	944116	128534116
5257	Chip Yield	15000000	chips	1964583	144554583
5262	Modifier Miner's Pickaxe L4	16000000	chips	12287813	170877813
5270	Modifier Queue Scrubber L5	28800000	chips	627704	188017704
5272	Modifier Miner's Pickaxe L5	32000000	chips	1238769	220628769
5309	Solver PPO	100000000	chips	968364	320358364
5313	PPO Training Complete	0	frames	380000	322617541
5314	Prestige +752 Insight	0	Insight	3390	900000
5314	Research Offline Engine L3	22	Insight	3368	900000
5314	Research Stability Model L2	24	Insight	3344	900000
5314	Research Offline Buffer L3	28	Insight	3316	900000
5314	Research PPO Memory L3	30	Insight	3286	900000
5314	Research Insight Extractor L2	32	Insight	3254	900000
5314	Research Passive Insight L4	32	Insight	3222	900000
5314	Research Yield Theory L5	36	Insight	3186	900000
5314	Research PPO Bootcamp L4	36	Insight	3150	900000
5314	Research High Focus L3	38	Insight	3112	900000
5314	Research Algorithm Archive L4	40	Insight	3072	900000
5314	Research Offline Engine L4	48	Insight	3024	900000
5314	Research Stability Model L3	52	Insight	2972	900000
5314	Research Offline Buffer L4	60	Insight	2912	900000
5314	Research PPO Memory L4	65	Insight	2847	900000
5314	Research Passive Insight L5	68	Insight	2779	900000
5314	Research Insight Extractor L3	70	Insight	2709	900000
5314	Research PPO Bootcamp L5	72	Insight	2637	900000
5314	Research High Focus L4	80	Insight	2557	900000
5314	Research Offline Engine L5	100	Insight	2457	900000
5314	Research Stability Model L4	110	Insight	2347	900000
5314	Research Offline Buffer L5	130	Insight	2217	900000
5314	Research PPO Memory L5	140	Insight	2077	900000
5314	Research Insight Extractor L4	150	Insight	1927	900000
5314	Research High Focus L5	170	Insight	1757	900000
5314	Research Stability Model L5	230	Insight	1527	900000
5314	Research Insight Extractor L5	320	Insight	1207	900000
5315	Chip Yield	4000	chips	896728	900728
5315	Speed L1	6000	chips	890728	900728
5315	Stack Cap L1	12000	chips	878728	900728
5315	Solver STALL	18000	chips	860728	900728
5315	Speed L2	30000	chips	830728	900728
5315	Queue Preview	40000	chips	790728	900728
5315	Chip Yield	40000	chips	750728	900728
5315	Difficulty L1	60000	chips	690728	900728
5315	Stack Cap L2	70000	chips	620728	900728
5315	Solver LOOK	80000	chips	540728	900728
5315	Agents Menu	120000	chips	420728	900728
5315	Agent Merge Broker	60000	chips	360728	900728
5315	Agent Highwater Analyst	120000	chips	240728	900728
5315	Solver PLAN-3	130000	chips	110728	900728
5317	Speed L3	150000	chips	18405	958405
5324	Solver COMBO	180000	chips	28939	1148939
5333	Solver MOCA	220000	chips	11223	1351223
5343	Agent Score Auditor	220000	chips	24216	1584216
5355	Chip Yield	350000	chips	16315	1926315
5366	Solver PLAN-5	400000	chips	4405	2314405
5379	Stack Cap L3	400000	chips	27355	2737355
5389	Queue Preview	400000	chips	38433	3148433
5399	Agent Overclocker	400000	chips	35372	3545372
5412	Difficulty L2	600000	chips	22985	4132985
5428	Agent Quartermaster	650000	chips	63098	4823098
5447	Speed L4	800000	chips	30035	5590035
5465	Solver MOCA+	900000	chips	23645	6483645
5487	Agent Restart Sponsor	1000000	chips	3627	7463627
5521	Extra Agent Slot	1500000	chips	32090	8992090
5557	Agent Token Prospector	1500000	chips	33064	10493064
5604	Solver MCTS	1800000	chips	41556	12301556
5658	Stack Cap L4	2200000	chips	73036	14533036
5701	Agent Move Dividend	2200000	chips	5462	16665462
5753	Chip Yield	2500000	chips	53683	19213683
5805	Modifiers Menu	3000000	chips	48523	22208523
5809	Modifier Unstable Stack L1	800000	chips	219823	23179823
5814	Modifier Unstable Stack L2	1600000	chips	7163	24567163
5820	Modifier Queue Scrubber L1	1800000	chips	84357	26444357
5826	Modifier Miner's Pickaxe L1	2000000	chips	55407	28415407
5835	Agent Velocity Trader	3000000	chips	215740	31575740
5846	Modifier Catalyst Stack L1	3000000	chips	306028	34666028
5851	Modifier Mirror Stack L1	3000000	chips	36527	37396527
5855	Modifier Unstable Stack L3	3200000	chips	207712	40767712
5860	Modifier Queue Scrubber L2	3600000	chips	1417451	45577451
5864	Speed L5	4000000	chips	209675	48369675
